time,seconds_elapsed,z,y,x
1733075403123229200,0.141229248046875,-1.9467682838439941,-2.8353705406188965,-1.3466086387634277
1733075403139930400,0.157930419921875,-3.1472907066345215,-0.015512704849243164,-6.408555030822754
1733075403156653000,0.174653076171875,-2.174989700317383,0.3417172431945801,-5.562229633331299
1733075403173348000,0.19134814453125,-1.0910186767578125,-1.3884679079055786,-3.600701332092285
1733075403190063400,0.2080634765625,1.795578956604004,-5.196440696716309,0.3006906509399414
1733075403206796000,0.224796142578125,4.531912803649902,-4.901134014129639,1.6587735414505005
1733075403223509800,0.241509765625,6.123856544494629,-0.9049312472343445,1.807772159576416
1733075403240226300,0.258226318359375,9.496368408203125,2.9452626705169678,1.7208189964294434
1733075403256923100,0.274923095703125,9.400550842285156,-0.7598204612731934,-0.31374382972717285
1733075403273659400,0.291659423828125,7.129962921142578,-2.412154197692871,-0.6840054988861084
1733075403290370600,0.30837060546875,6.042664527893066,-2.0568697452545166,0.2166595458984375
1733075403307084800,0.325084716796875,4.4986677169799805,-2.442863941192627,0.8008623123168945
1733075403323792600,0.341792724609375,2.3524599075317383,-1.06121027469635,2.3661978244781494
1733075403340515800,0.358515869140625,0.4294319152832031,-0.262553334236145,2.458298683166504
1733075403357226500,0.3752265625,-0.19178390502929688,-0.6867048740386963,0.925159215927124
1733075403373953800,0.391953857421875,0.8082981109619141,-0.9407147169113159,-0.1711573600769043
1733075403390652000,0.40865185546875,2.4288482666015625,-1.0467725992202759,-0.06501531600952148
1733075403407381800,0.4253818359375,2.6831483840942383,-1.3341407775878906,0.06743097305297852
1733075403424093000,0.442093017578125,1.334451675415039,-1.5893597602844238,-0.30782413482666016
1733075403440810800,0.458810791015625,0.3396568298339844,-3.246077299118042,-2.5050747394561768
1733075403457527300,0.47552734375,-0.11880016326904297,-2.454714298248291,-2.4309158325195312
1733075403474234400,0.492234375,0.02560138702392578,-1.8470383882522583,-1.1729180812835693
1733075403490963700,0.508963623046875,-1.129857063293457,0.29937243461608887,3.8115360736846924
1733075403507669200,0.525669189453125,-1.291055679321289,0.7210824489593506,3.7467269897460938
1733075403524365600,0.542365478515625,-1.9139165878295898,-1.2854089736938477,0.4411594867706299
1733075403541101000,0.55910107421875,-1.8087224960327148,-0.9505906105041504,-0.5061790943145752
1733075403557796900,0.575796875,-0.861149787902832,-1.3209176063537598,-0.38446569442749023
1733075403574523400,0.5925234375,0.0123443603515625,-1.3095980882644653,0.08114790916442871
1733075403591215900,0.6092158203125,0.2957000732421875,-1.1581833362579346,0.16312932968139648
